time;total;exploitable;vols;memoire;retbdd
Thu May 03 22:33:10 CEST 2018;1313937;1112233;10958;10673;0.0
Thu May 03 22:33:22 CEST 2018;1319670;1117058;11008;10720;0.0
Thu May 03 22:33:34 CEST 2018;1325415;1121756;11038;10747;0.0
Thu May 03 22:33:46 CEST 2018;1331170;1126504;11070;10774;0.0
Thu May 03 22:33:59 CEST 2018;1336907;1131227;11087;10784;0.0
Thu May 03 22:34:11 CEST 2018;1342614;1135954;11113;10804;0.0
Thu May 03 22:34:23 CEST 2018;1348338;1140813;11161;10849;0.0
Thu May 03 22:34:35 CEST 2018;1354068;1145534;11187;10873;0.0
Thu May 03 22:34:49 CEST 2018;1359793;1150241;11208;10893;0.0
Thu May 03 22:35:00 CEST 2018;1365517;1154930;11227;10909;0.0
Thu May 03 22:35:09 CEST 2018;1371196;1159713;11251;10931;0.0
Thu May 03 22:35:15 CEST 2018;1376875;1159713;11251;10931;0.0
Thu May 03 22:35:23 CEST 2018;1382545;1164364;11262;10943;0.0
Thu May 03 22:35:31 CEST 2018;1388207;1169011;11279;10958;0.0
Thu May 03 22:35:40 CEST 2018;1393852;1173643;11292;10971;0.0
Thu May 03 22:35:46 CEST 2018;1399497;1173643;11292;10971;0.0
Thu May 03 22:35:55 CEST 2018;1405157;1178314;11315;11012;0.0
Thu May 03 22:36:04 CEST 2018;1410792;1182945;11330;11027;0.0
Thu May 03 22:36:14 CEST 2018;1416437;1187615;11345;11042;0.0
Thu May 03 22:36:23 CEST 2018;1422082;1192281;11369;11064;0.0
Thu May 03 22:36:32 CEST 2018;1427720;1196948;11384;11078;0.0
Thu May 03 22:36:42 CEST 2018;1433364;1201614;11402;11096;0.0
Thu May 03 22:36:50 CEST 2018;1439010;1206275;11418;11112;0.0
Thu May 03 22:37:03 CEST 2018;1444660;1210949;11434;11132;0.0
Thu May 03 22:37:11 CEST 2018;1450311;1215642;11447;11148;0.0
Thu May 03 22:37:22 CEST 2018;1455952;1220322;11464;11160;0.0
Thu May 03 22:37:31 CEST 2018;1461627;1225015;11513;11204;0.0
Thu May 03 22:37:40 CEST 2018;1467313;1229722;11532;11222;0.0
Thu May 03 22:37:52 CEST 2018;1472996;1234427;11564;11247;0.0
Thu May 03 22:38:01 CEST 2018;1478675;1239126;11586;11265;0.0
Thu May 03 22:38:13 CEST 2018;1484362;1243833;11615;11287;0.0
Thu May 03 22:38:22 CEST 2018;1490053;1248574;11634;11305;0.0
Thu May 03 22:38:33 CEST 2018;1495734;1253291;11656;11323;0.0
Thu May 03 22:38:41 CEST 2018;1501418;1258004;11682;11346;0.0
Thu May 03 22:38:53 CEST 2018;1507105;1262725;11706;11362;0.0
Thu May 03 22:39:04 CEST 2018;1512803;1267471;11740;11394;0.0
Thu May 03 22:39:16 CEST 2018;1518501;1272220;11760;11409;0.0
Thu May 03 22:39:29 CEST 2018;1524201;1276999;11783;11430;0.0
Thu May 03 22:39:42 CEST 2018;1529887;1281759;11804;11444;0.0
Thu May 03 22:39:56 CEST 2018;1535514;1286573;11837;11466;0.0
Thu May 03 22:40:10 CEST 2018;1541137;1291245;11865;11490;0.0
Thu May 03 22:40:23 CEST 2018;1546741;1296017;11888;11511;0.0
Thu May 03 22:40:35 CEST 2018;1552322;1300666;11897;11519;0.0
Thu May 03 22:40:47 CEST 2018;1557891;1305298;11906;11526;0.0
Thu May 03 22:40:59 CEST 2018;1563468;1309958;11928;11545;0.0
Thu May 03 22:41:11 CEST 2018;1569052;1314611;11956;11567;0.0
Thu May 03 22:41:23 CEST 2018;1574626;1319378;11981;11588;0.0
Thu May 03 22:41:32 CEST 2018;1580200;1324021;12000;11600;0.0
Thu May 03 22:41:42 CEST 2018;1585775;1328644;12013;11607;0.0
Thu May 03 22:41:52 CEST 2018;1591348;1333295;12023;11616;0.0
Thu May 03 22:42:02 CEST 2018;1596912;1337927;12034;11626;0.0
Thu May 03 22:42:12 CEST 2018;1602467;1342569;12050;11636;0.0
Thu May 03 22:42:23 CEST 2018;1608013;1347213;12055;11642;0.0
Thu May 03 22:42:34 CEST 2018;1613543;1351838;12071;11652;0.0
Thu May 03 22:42:44 CEST 2018;1619067;1356452;12083;11660;0.0
Thu May 03 22:42:55 CEST 2018;1624592;1361096;12102;11677;0.0
Thu May 03 22:43:07 CEST 2018;1630112;1365704;12117;11686;0.0
Thu May 03 22:43:18 CEST 2018;1635626;1370307;12133;11700;0.0
Thu May 03 22:43:30 CEST 2018;1641137;1374932;12144;11711;0.0
Thu May 03 22:43:40 CEST 2018;1646670;1379563;12176;11740;0.0
Thu May 03 22:43:52 CEST 2018;1652165;1384264;12198;11759;0.0
Thu May 03 22:44:04 CEST 2018;1657658;1388853;12216;11774;0.0
Thu May 03 22:44:15 CEST 2018;1663169;1393476;12241;11796;0.0
Thu May 03 22:44:27 CEST 2018;1668682;1398115;12268;11815;0.0
Thu May 03 22:44:37 CEST 2018;1674192;1402721;12290;11830;0.0
Thu May 03 22:44:46 CEST 2018;1679687;1407317;12302;11839;0.0
Thu May 03 22:44:57 CEST 2018;1685152;1411919;12320;11854;0.0
Thu May 03 22:45:10 CEST 2018;1690619;1416524;12339;11869;0.0
Thu May 03 22:45:20 CEST 2018;1696085;1421246;12365;11895;0.0
Thu May 03 22:45:32 CEST 2018;1701559;1425830;12384;11909;0.0
Thu May 03 22:45:44 CEST 2018;1707027;1430394;12405;11925;0.0
Thu May 03 22:45:56 CEST 2018;1712503;1434962;12421;11939;0.0
Thu May 03 22:46:32 CEST 2018;1717995;1439690;12471;11982;0.0
Thu May 03 22:46:47 CEST 2018;1723481;1444489;12527;12029;0.0
Thu May 03 22:47:01 CEST 2018;1728970;1449103;12547;12048;0.0
Thu May 03 22:47:15 CEST 2018;1734468;1453825;12584;12080;0.0
Thu May 03 22:47:27 CEST 2018;1739955;1458399;12602;12093;0.0
Thu May 03 22:47:39 CEST 2018;1745432;1462986;12617;12107;0.0
Thu May 03 22:47:54 CEST 2018;1750894;1467682;12644;12130;0.0
Thu May 03 22:48:07 CEST 2018;1756345;1472237;12653;12136;0.0
Thu May 03 22:48:21 CEST 2018;1761800;1476796;12668;12146;0.0
Thu May 03 22:48:35 CEST 2018;1767273;1481517;12713;12191;0.0
Thu May 03 22:48:46 CEST 2018;1772748;1486125;12738;12211;0.0
Thu May 03 22:48:59 CEST 2018;1778204;1490687;12752;12223;0.0
Thu May 03 22:49:14 CEST 2018;1783654;1495386;12770;12239;0.0
Thu May 03 22:49:29 CEST 2018;1789105;1499965;12781;12248;0.0
Thu May 03 22:49:42 CEST 2018;1794555;1504646;12813;12280;0.0
Thu May 03 22:49:56 CEST 2018;1800018;1509241;12845;12307;0.0
Thu May 03 22:50:11 CEST 2018;1805472;1513809;12857;12312;0.0
Thu May 03 22:50:24 CEST 2018;1810907;1518479;12884;12338;0.0
Thu May 03 22:50:36 CEST 2018;1816354;1523052;12902;12356;0.0
Thu May 03 22:50:51 CEST 2018;1821789;1527615;12918;12367;0.0
Thu May 03 22:51:03 CEST 2018;1827213;1532297;12948;12384;0.0
Thu May 03 22:51:16 CEST 2018;1832638;1536861;12957;12390;0.0
Thu May 03 22:51:30 CEST 2018;1838061;1541413;12972;12400;0.0
Thu May 03 22:51:44 CEST 2018;1843474;1546057;12985;12412;0.0
Thu May 03 22:51:57 CEST 2018;1848887;1550585;13001;12423;0.0
Thu May 03 22:52:14 CEST 2018;1854291;1555251;13031;12454;0.0
Thu May 03 22:52:27 CEST 2018;1859695;1559814;13040;12461;0.0
Thu May 03 22:52:39 CEST 2018;1865089;1564364;13053;12472;0.0
Thu May 03 22:52:55 CEST 2018;1870509;1569064;13089;12502;0.0
Thu May 03 22:53:08 CEST 2018;1875926;1573630;13112;12514;0.0
Thu May 03 22:53:24 CEST 2018;1881340;1578300;13135;12533;0.0
Thu May 03 22:53:33 CEST 2018;1886745;1582845;13152;12543;0.0
Thu May 03 22:53:42 CEST 2018;1892145;1587402;13163;12553;0.0
Thu May 03 22:53:50 CEST 2018;1897539;1591952;13183;12565;0.0
Thu May 03 22:54:02 CEST 2018;1902928;1596508;13195;12576;0.0
Thu May 03 22:54:11 CEST 2018;1908310;1601056;13218;12594;0.0
Thu May 03 22:54:20 CEST 2018;1913699;1605631;13240;12608;0.0
