time;total;exploitable;vols;memoire;retbdd
Thu May 03 21:08:14 CEST 2018;1635117;1341743;14040;6489;1987.0
Thu May 03 21:08:23 CEST 2018;1641073;1346675;14085;6512;1996.0
Thu May 03 21:08:32 CEST 2018;1647028;1351627;14126;6524;2011.0
Thu May 03 21:08:42 CEST 2018;1652984;1356566;14168;6540;2015.0
Thu May 03 21:08:53 CEST 2018;1658931;1361480;14202;6539;2031.0
Thu May 03 21:09:06 CEST 2018;1664832;1366333;14225;6525;2041.0
Thu May 03 21:09:13 CEST 2018;1670720;1371255;14261;6517;2054.0
Thu May 03 21:09:21 CEST 2018;1676602;1376125;14294;6511;2064.0
Thu May 03 21:09:28 CEST 2018;1682465;1380994;14314;6509;2067.0
Thu May 03 21:09:43 CEST 2018;1688319;1385874;14338;6502;2071.0
Thu May 03 21:10:07 CEST 2018;1694165;1390771;14363;6490;2074.0
Thu May 03 21:10:17 CEST 2018;1700007;1395773;14405;6498;2074.0
Thu May 03 21:10:28 CEST 2018;1705858;1400789;14454;6511;2074.0
Thu May 03 21:10:33 CEST 2018;1711709;1400789;14454;6478;2074.0
Thu May 03 21:10:40 CEST 2018;1717554;1405684;14476;6451;2074.0
Thu May 03 21:10:48 CEST 2018;1723401;1410553;14501;6426;2074.0
Thu May 03 21:10:52 CEST 2018;1729248;1410557;14504;6387;2078.0
Thu May 03 21:10:59 CEST 2018;1735086;1415449;14530;6354;2090.0
Thu May 03 21:11:04 CEST 2018;1740924;1415457;14537;6325;2098.0
Thu May 03 21:11:14 CEST 2018;1746748;1420346;14561;6310;2104.0
Thu May 03 21:11:33 CEST 2018;1752572;1425254;14601;6301;2114.0
Thu May 03 21:11:47 CEST 2018;1758374;1430262;14645;6294;2119.0
Thu May 03 21:11:59 CEST 2018;1764161;1435136;14666;6271;2126.0
Thu May 03 21:12:13 CEST 2018;1769928;1440124;14715;6267;2126.0
Thu May 03 21:12:21 CEST 2018;1775693;1444981;14734;6243;2126.0
Thu May 03 21:12:28 CEST 2018;1781451;1449827;14748;6209;2126.0
Thu May 03 21:12:31 CEST 2018;1787209;1449833;14754;6170;2132.0
Thu May 03 21:12:37 CEST 2018;1792950;1454677;14771;6144;2135.0
Thu May 03 21:12:42 CEST 2018;1798691;1454688;14780;6110;2146.0
Thu May 03 21:12:51 CEST 2018;1804425;1459592;14824;6091;2173.0
Thu May 03 21:13:01 CEST 2018;1810137;1464451;14853;6067;2185.0
Thu May 03 21:13:15 CEST 2018;1815843;1469320;14888;6057;2201.0
Thu May 03 21:13:25 CEST 2018;1821540;1474170;14916;6042;2214.0
Thu May 03 21:13:35 CEST 2018;1827238;1479026;14950;6035;2226.0
Thu May 03 21:13:41 CEST 2018;1832938;1483892;14999;6022;2250.0
Thu May 03 21:13:52 CEST 2018;1838630;1488759;15040;6014;2264.0
Thu May 03 21:14:03 CEST 2018;1844300;1493654;15069;6006;2278.0
Thu May 03 21:14:12 CEST 2018;1849968;1498540;15095;6001;2291.0
Thu May 03 21:14:21 CEST 2018;1855635;1503402;15135;6007;2296.0
Thu May 03 21:14:32 CEST 2018;1861304;1508301;15166;6017;2305.0
Thu May 03 21:14:41 CEST 2018;1866982;1513154;15196;6024;2315.0
Thu May 03 21:14:51 CEST 2018;1872660;1518044;15229;6023;2329.0
Thu May 03 21:15:01 CEST 2018;1878342;1522942;15269;6034;2350.0
Thu May 03 21:15:12 CEST 2018;1884025;1527816;15298;6043;2359.0
Thu May 03 21:15:22 CEST 2018;1889715;1532684;15330;6056;2368.0
Thu May 03 21:15:31 CEST 2018;1895394;1537571;15357;6060;2377.0
Thu May 03 21:15:42 CEST 2018;1901117;1542490;15425;6112;2381.0
Thu May 03 21:15:51 CEST 2018;1906850;1547377;15459;6125;2387.0
Thu May 03 21:16:02 CEST 2018;1912548;1552259;15485;6136;2391.0
Thu May 03 21:16:15 CEST 2018;1918293;1557184;15527;6157;2396.0
Thu May 03 21:16:23 CEST 2018;1924018;1562076;15550;6158;2405.0
Thu May 03 21:16:33 CEST 2018;1929715;1566920;15580;6153;2423.0
Thu May 03 21:16:42 CEST 2018;1935411;1571793;15609;6152;2433.0
Thu May 03 21:16:52 CEST 2018;1941118;1576668;15646;6156;2445.0
Thu May 03 21:17:00 CEST 2018;1946820;1581567;15673;6153;2457.0
Thu May 03 21:17:55 CEST 2018;1952532;1586706;15773;6228;2457.0
Thu May 03 21:18:00 CEST 2018;1958244;1591583;15789;6230;2457.0
Thu May 03 21:18:08 CEST 2018;1963969;1596449;15819;6239;2457.0
Thu May 03 21:18:12 CEST 2018;1969694;1596449;15819;6226;2457.0
Thu May 03 21:18:19 CEST 2018;1975406;1601315;15835;6210;2457.0
Thu May 03 21:18:45 CEST 2018;1981100;1606159;15850;6187;2457.0
Thu May 03 21:18:57 CEST 2018;1986796;1611135;15891;6189;2457.0
Thu May 03 21:19:03 CEST 2018;1992486;1615945;15904;6167;2457.0
Thu May 03 21:19:20 CEST 2018;1998170;1620779;15921;6150;2457.0
Thu May 03 21:19:25 CEST 2018;2003860;1625724;15953;6146;2457.0
Thu May 03 21:19:29 CEST 2018;2009550;1625724;15953;6114;2457.0
Thu May 03 21:19:31 CEST 2018;2015240;1625724;15953;6080;2457.0
Thu May 03 21:19:37 CEST 2018;2020924;1630562;15977;6071;2457.0
Thu May 03 21:19:48 CEST 2018;2026611;1635403;15997;6063;2457.0
Thu May 03 21:20:02 CEST 2018;2032298;1635403;15997;6035;2457.0
Thu May 03 21:20:13 CEST 2018;2037990;1640374;16037;6054;2457.0
Thu May 03 21:20:24 CEST 2018;2043677;1645231;16051;6036;2457.0
Thu May 03 21:20:32 CEST 2018;2049370;1650099;16080;6028;2457.0
Thu May 03 21:20:39 CEST 2018;2055064;1654962;16104;6016;2457.0
Thu May 03 21:20:43 CEST 2018;2060758;1654962;16104;5982;2457.0
Thu May 03 21:20:49 CEST 2018;2066448;1659842;16120;5968;2457.0
Thu May 03 21:20:55 CEST 2018;2072138;1659848;16125;5939;2463.0
Thu May 03 21:21:03 CEST 2018;2077819;1664696;16149;5927;2467.0
Thu May 03 21:21:11 CEST 2018;2083497;1669561;16170;5917;2469.0
